label_binary,scenario_id,scenario_family,flow_count,pct_within_label
normal,N20,normal_http_short,1680,21.43
normal,N21,normal_http_short,1680,21.43
normal,N30,normal_https_short,1400,17.86
normal,N22,normal_dns_burst,1260,16.07
normal,N23,normal_ssh_short,840,10.72
normal,N24,normal_wget_burst,700,8.93
normal,N31,normal_https_download,160,2.04
normal,N36,normal_admin_mixed,50,0.64
normal,N35,normal_scp,20,0.26
normal,N07,normal_bulk_tcp,14,0.18
normal,N06,normal_dns,10,0.13
normal,N01,normal_icmp,7,0.09
normal,N02,normal_http,6,0.08
normal,N03,normal_http,6,0.08
normal,N11,normal_wget,6,0.08
suspect,S20,scan_syn_large,2009,25.63
suspect,S21,scan_connect_large,1424,18.17
suspect,S22,scan_udp_large,1423,18.15
suspect,S25,scan_syn_slow,1066,13.6
suspect,S24,failed_connection_burst,1057,13.48
suspect,S23,syn_burst_multiport,341,4.35
suspect,S02,scan_connect,242,3.09
suspect,S01,scan_syn,123,1.57
suspect,S31,web_probe_https,60,0.77
suspect,S30,ssh_bruteforce_light,58,0.74
suspect,S05,syn_burst,20,0.26
suspect,S03,scan_udp,15,0.19
suspect,S06,icmp_burst,1,0.01
