label_binary,scenario_id,scenario_family,flow_count,pct_within_label
normal,N20,normal_http_short,1680,21.43
normal,N21,normal_http_short,1680,21.43
normal,N30,normal_https_short,1400,17.86
normal,N22,normal_dns_burst,1260,16.07
normal,N23,normal_ssh_short,840,10.72
normal,N24,normal_wget_burst,700,8.93
normal,N31,normal_https_download,160,2.04
normal,N36,normal_admin_mixed,50,0.64
normal,N35,normal_scp,20,0.26
normal,N07,normal_bulk_tcp,14,0.18
normal,N06,normal_dns,10,0.13
normal,N01,normal_icmp,7,0.09
normal,N02,normal_http,6,0.08
normal,N03,normal_http,6,0.08
normal,N11,normal_wget,6,0.08
suspect,S20,scan_syn_large,2100,25.49
suspect,S21,scan_connect_large,1500,18.2
suspect,S22,scan_udp_large,1500,18.2
suspect,S24,failed_connection_burst,1120,13.59
suspect,S25,scan_syn_slow,1120,13.59
suspect,S23,syn_burst_multiport,360,4.37
suspect,S02,scan_connect,254,3.08
suspect,S01,scan_syn,128,1.55
suspect,S30,ssh_bruteforce_light,60,0.73
suspect,S31,web_probe_https,60,0.73
suspect,S05,syn_burst,20,0.24
suspect,S03,scan_udp,17,0.21
suspect,S06,icmp_burst,1,0.01
