label_binary,scenario_id,scenario_family,flow_count,pct_within_label
normal,N20,normal_http_short,4206,24.64
normal,N21,normal_http_short,4201,24.61
normal,N22,normal_dns_burst,3493,20.46
normal,N30,normal_https_short,2997,17.56
normal,N23,normal_ssh_short,1055,6.18
normal,N24,normal_wget_burst,840,4.92
normal,N31,normal_https_download,160,0.94
normal,N36,normal_admin_mixed,50,0.29
normal,N35,normal_scp,20,0.12
normal,N07,normal_bulk_tcp,14,0.08
normal,N06,normal_dns,10,0.06
normal,N01,normal_icmp,7,0.04
normal,N02,normal_http,6,0.04
normal,N03,normal_http,6,0.04
normal,N11,normal_wget,6,0.04
suspect,S20,scan_syn_large,6009,31.05
suspect,S21,scan_connect_large,5989,30.95
suspect,S22,scan_udp_large,3599,18.6
suspect,S25,scan_syn_slow,1409,7.28
suspect,S24,failed_connection_burst,1400,7.23
suspect,S23,syn_burst_multiport,405,2.09
suspect,S02,scan_connect,254,1.31
suspect,S01,scan_syn,128,0.66
suspect,S30,ssh_bruteforce_light,61,0.32
suspect,S31,web_probe_https,60,0.31
suspect,S05,syn_burst,20,0.1
suspect,S03,scan_udp,17,0.09
suspect,S06,icmp_burst,1,0.01
