label_binary,scenario_family,capture_count,flow_count,packet_count,avg_flows_per_capture
normal,normal_http_short,40,12013,125219,300.32
normal,normal_dns_burst,10,4991,10059,499.1
normal,normal_https_short,15,4497,68482,299.8
normal,normal_ssh_short,10,1506,56230,150.6
normal,normal_wget_burst,10,1200,12000,120.0
normal,normal_bulk_tcp,8,18,41205,2.25
normal,normal_http,18,18,203,1.0
normal,normal_dns,8,12,27,1.5
normal,normal_icmp,9,10,92,1.11
normal,normal_wget,8,8,91,1.0
suspect,scan_connect_large,5,9982,10167,1996.4
suspect,scan_syn_large,8,8009,16116,1001.12
suspect,scan_udp_large,8,4795,4972,599.38
suspect,syn_burst_multiport,10,2018,2135,201.8
suspect,scan_syn_slow,10,2014,4129,201.4
suspect,failed_connection_burst,10,2000,4000,200.0
suspect,scan_connect,3,766,841,255.33
suspect,scan_syn,3,384,789,128.0
suspect,syn_burst,3,60,180,20.0
suspect,scan_udp,2,32,72,16.0
suspect,icmp_burst,2,2,160,1.0
