split,label_binary,scenario_family,flow_count
test,normal,normal_https_short,4497
test,normal,normal_wget_burst,720
test,suspect,scan_syn_slow,1813
train,normal,normal_bulk_tcp,18
train,normal,normal_dns,12
train,normal,normal_dns_burst,1996
train,normal,normal_http,18
train,normal,normal_http_short,12013
train,normal,normal_icmp,10
train,normal,normal_wget,8
train,suspect,failed_connection_burst,200
train,suspect,icmp_burst,2
train,suspect,scan_connect,766
train,suspect,scan_connect_large,9982
train,suspect,scan_syn,384
train,suspect,scan_syn_large,8009
train,suspect,scan_udp,32
train,suspect,scan_udp_large,4795
train,suspect,syn_burst,60
train,suspect,syn_burst_multiport,2018
validation,normal,normal_dns_burst,2995
validation,normal,normal_ssh_short,1506
validation,normal,normal_wget_burst,480
validation,suspect,failed_connection_burst,1800
validation,suspect,scan_syn_slow,201
