label_binary,scenario_id,scenario_family,flow_count,pct_within_label
normal,N20,normal_http_short,3000,42.46
normal,N21,normal_http_short,3000,42.46
normal,N22,normal_dns_burst,1000,14.15
normal,N07,normal_bulk_tcp,18,0.25
normal,N06,normal_dns,12,0.17
normal,N01,normal_icmp,10,0.14
normal,N02,normal_http,9,0.13
normal,N03,normal_http,9,0.13
normal,N11,normal_wget,8,0.11
suspect,S20,scan_syn_large,2231,31.57
suspect,S21,scan_connect_large,2149,30.41
suspect,S22,scan_udp_large,1686,23.86
suspect,S02,scan_connect,534,7.56
suspect,S01,scan_syn,272,3.85
suspect,S24,failed_connection_burst,127,1.8
suspect,S05,syn_burst,42,0.59
suspect,S03,scan_udp,24,0.34
suspect,S06,icmp_burst,1,0.01
