label_binary,scenario_id,scenario_family,flow_count,pct_within_label
normal,N20,normal_http_short,3000,42.46
normal,N21,normal_http_short,3000,42.46
normal,N22,normal_dns_burst,1000,14.15
normal,N07,normal_bulk_tcp,18,0.25
normal,N06,normal_dns,12,0.17
normal,N01,normal_icmp,10,0.14
normal,N02,normal_http,9,0.13
normal,N03,normal_http,9,0.13
normal,N11,normal_wget,8,0.11
suspect,S20,scan_syn_large,3200,31.92
suspect,S21,scan_connect_large,3000,29.93
suspect,S22,scan_udp_large,2400,23.94
suspect,S02,scan_connect,766,7.64
suspect,S01,scan_syn,384,3.83
suspect,S24,failed_connection_burst,180,1.8
suspect,S05,syn_burst,60,0.6
suspect,S03,scan_udp,32,0.32
suspect,S06,icmp_burst,2,0.02
