campaign_id,capture_id,pcap_name,scenario_id,scenario_family,label_binary,packet_count,flow_count,status,source_host,target_host,started_at_utc,notes
v2_complement_20260328_1225,v2_complement_20260328_1225_N31_run01,v2_complement_20260328_1225_N31_run01.pcap,N31,normal_https_download,normal,15576,80,ok,172.30.1.23,172.30.1.24,2026-03-28T16:02:10Z,ubuntu repeated https downloads from meta3
v2_complement_20260328_1225,v2_complement_20260328_1225_N31_run02,v2_complement_20260328_1225_N31_run02.pcap,N31,normal_https_download,normal,14334,80,ok,172.30.1.23,172.30.1.24,2026-03-28T16:02:40Z,ubuntu repeated https downloads from meta3
v2_complement_20260328_1225,v2_complement_20260328_1225_N31_run03,v2_complement_20260328_1225_N31_run03.pcap,N31,normal_https_download,normal,17912,80,ok,172.30.1.23,172.30.1.24,2026-03-28T16:03:06Z,ubuntu repeated https downloads from meta3
v2_complement_20260328_1225,v2_complement_20260328_1225_N31_run04,v2_complement_20260328_1225_N31_run04.pcap,N31,normal_https_download,normal,32087,84,ok,172.30.1.23,172.30.1.24,2026-03-28T16:04:00Z,ubuntu repeated https downloads from meta3
v2_complement_20260328_1225,v2_complement_20260328_1225_N35_run01,v2_complement_20260328_1225_N35_run01.pcap,N35,normal_scp,normal,3398,20,ok,172.30.1.23,172.30.1.24,2026-03-28T16:06:14Z,ubuntu repeated scp to meta3
v2_complement_20260328_1225,v2_complement_20260328_1225_N35_run02,v2_complement_20260328_1225_N35_run02.pcap,N35,normal_scp,normal,3429,20,ok,172.30.1.23,172.30.1.24,2026-03-28T16:06:41Z,ubuntu repeated scp to meta3
v2_complement_20260328_1225,v2_complement_20260328_1225_N35_run03,v2_complement_20260328_1225_N35_run03.pcap,N35,normal_scp,normal,3771,20,ok,172.30.1.23,172.30.1.24,2026-03-28T16:07:04Z,ubuntu repeated scp to meta3
v2_complement_20260328_1225,v2_complement_20260328_1225_N36_run01,v2_complement_20260328_1225_N36_run01.pcap,N36,normal_admin_mixed,normal,2616,50,ok,172.30.1.23,172.30.1.24,2026-03-28T16:07:33Z,ubuntu mixed ssh and scp admin activity to meta3
v2_complement_20260328_1225,v2_complement_20260328_1225_N36_run02,v2_complement_20260328_1225_N36_run02.pcap,N36,normal_admin_mixed,normal,2534,50,ok,172.30.1.23,172.30.1.24,2026-03-28T16:08:42Z,ubuntu mixed ssh and scp admin activity to meta3
v2_complement_20260328_1225,v2_complement_20260328_1225_N36_run03,v2_complement_20260328_1225_N36_run03.pcap,N36,normal_admin_mixed,normal,2525,51,ok,172.30.1.23,172.30.1.24,2026-03-28T16:09:37Z,ubuntu mixed ssh and scp admin activity to meta3
v2_complement_20260328_1225,v2_complement_20260328_1225_S23_run01,v2_complement_20260328_1225_S23_run01.pcap,S23,syn_burst_multiport,suspect,206,200,ok,172.30.1.20,172.30.1.24,2026-03-28T16:10:26Z,kali syn multiport burst meta3 ports 1-200
v2_complement_20260328_1225,v2_complement_20260328_1225_S23_run02,v2_complement_20260328_1225_S23_run02.pcap,S23,syn_burst_multiport,suspect,229,205,ok,172.30.1.20,172.30.1.24,2026-03-28T16:14:26Z,kali syn multiport burst meta3 ports 1-200
v2_complement_20260328_1225,v2_complement_20260328_1225_S23_run03,v2_complement_20260328_1225_S23_run03.pcap,S23,syn_burst_multiport,suspect,206,200,ok,172.30.1.20,172.30.1.24,2026-03-28T16:18:23Z,kali syn multiport burst meta3 ports 1-200
v2_complement_20260328_1225,v2_complement_20260328_1225_S23_run04,v2_complement_20260328_1225_S23_run04.pcap,S23,syn_burst_multiport,suspect,208,201,ok,172.30.1.20,172.30.1.24,2026-03-28T16:22:10Z,kali syn multiport burst meta3 ports 1-200
v2_complement_20260328_1225,v2_complement_20260328_1225_S30_run01,v2_complement_20260328_1225_S30_run01.pcap,S30,ssh_bruteforce_light,suspect,1597,61,ok,172.30.1.20,172.30.1.24,2026-03-28T16:25:54Z,kali repeated ssh auth failures to meta3
v2_complement_20260328_1225,v2_complement_20260328_1225_S30_run02,v2_complement_20260328_1225_S30_run02.pcap,S30,ssh_bruteforce_light,suspect,1638,64,ok,172.30.1.20,172.30.1.24,2026-03-28T16:28:11Z,kali repeated ssh auth failures to meta3
v2_complement_20260328_1225,v2_complement_20260328_1225_S30_run03,v2_complement_20260328_1225_S30_run03.pcap,S30,ssh_bruteforce_light,suspect,1626,60,ok,172.30.1.20,172.30.1.24,2026-03-28T16:30:36Z,kali repeated ssh auth failures to meta3
v2_complement_20260328_1225,v2_complement_20260328_1225_S31_run01,v2_complement_20260328_1225_S31_run01.pcap,S31,web_probe_https,suspect,914,60,ok,172.30.1.20,172.30.1.24,2026-03-28T16:32:50Z,kali repeated https web probing to meta3
v2_complement_20260328_1225,v2_complement_20260328_1225_S31_run02,v2_complement_20260328_1225_S31_run02.pcap,S31,web_probe_https,suspect,911,60,ok,172.30.1.20,172.30.1.24,2026-03-28T16:33:03Z,kali repeated https web probing to meta3
v2_complement_20260328_1225,v2_complement_20260328_1225_S31_run03,v2_complement_20260328_1225_S31_run03.pcap,S31,web_probe_https,suspect,911,60,ok,172.30.1.20,172.30.1.24,2026-03-28T16:33:14Z,kali repeated https web probing to meta3
