feature_name,non_null_count,null_count,null_rate,top_values,min,max,mean,std
protocol,15678,0,0.0,"{""TCP"": 12935, ""UDP"": 2736, ""ICMP"": 7}",,,,
src_port,15678,0,0.0,,0.0,62962.0,47335.529404,11137.576154
dst_port,15678,0,0.0,,0.0,65000.0,4649.28658,16319.939568
duration_ms,15678,0,0.0,,0.0,21704.919,72.480251,551.38
packet_count_total,15678,0,0.0,,1.0,5170.0,11.323064,97.775749
packet_count_fwd,15678,0,0.0,,1.0,3803.0,6.466641,69.506639
packet_count_bwd,15678,0,0.0,,0.0,1384.0,4.856423,29.838411
byte_count_total,15678,0,0.0,,42.0,158389173.0,68879.740911,2840211.887598
byte_count_fwd,15678,0,0.0,,42.0,158308137.0,57347.239444,2836740.834214
byte_count_bwd,15678,0,0.0,,0.0,1080018.0,11532.501467,106369.919482
pkt_len_min,15678,0,0.0,,42.0,286.0,65.066845,14.431772
pkt_len_max,15678,0,0.0,,42.0,65226.0,961.816112,4867.122237
pkt_len_mean,15678,0,0.0,,42.0,31703.197158,214.513281,1107.409581
pkt_len_std,15678,0,0.0,,0.0,26033.369549,246.946319,1412.303002
iat_min_ms,15678,0,0.0,,0.0,1997.484922,3.840541,57.880229
iat_max_ms,15678,0,0.0,,0.0,12850.203991,41.610674,346.934758
iat_mean_ms,15678,0,0.0,,0.0,4283.664306,9.37884,101.663874
iat_std_ms,15678,0,0.0,,0.0,6057.458303,9.826906,112.410938
syn_count,15678,0,0.0,,0.0,0.0,0.0,0.0
ack_count,15678,0,0.0,,0.0,0.0,0.0,0.0
rst_count,15678,0,0.0,,0.0,0.0,0.0,0.0
fin_count,15678,0,0.0,,0.0,0.0,0.0,0.0
psh_count,15678,0,0.0,,0.0,0.0,0.0,0.0
icmp_echo_req_count,15678,0,0.0,,0.0,40.0,0.004465,0.334068
icmp_echo_reply_count,15678,0,0.0,,0.0,40.0,0.004465,0.334068
connections_per_1s,15678,0,0.0,,1.0,364.0,59.321661,85.192945
connections_per_5s,15678,0,0.0,,1.0,500.0,88.287218,97.464462
distinct_dst_ports_per_5s,15678,0,0.0,,1.0,350.0,43.850746,78.932662
distinct_dst_ips_per_5s,15678,0,0.0,,1.0,3.0,1.000765,0.031937
icmp_packets_per_1s,15678,0,0.0,,0.0,80.0,0.00893,0.668136
failed_connection_ratio,15678,0,0.0,,0.0,0.0,0.0,0.0
